,geneSymbol,geneSymbol_link,map_loc,chromosome,synonyms,summary
969,MGP001841,http://www.genenames.org/cgi-bin/gene_symbol_report?match=LTA4H,12q22,12,,
970,MGP001845,http://www.genenames.org/cgi-bin/gene_symbol_report?match=LTC4S,5q35,5,,"The MAPEG (Membrane Associated Proteins in Eicosanoid and Glutathione metabolism) family includes a number of human proteins, several of which are involved the production of leukotrienes. This gene encodes an enzyme that catalyzes the first step in the biosynthesis of cysteinyl leukotrienes, potent biological compounds derived from arachidonic acid. Leukotrienes have been implicated as mediators of anaphylaxis and inflammatory conditions such as human bronchial asthma. This protein localizes to the nuclear envelope and adjacent endoplasmic reticulum. [provided by RefSeq, Jul 2008]"
971,MGP005786,http://www.genenames.org/cgi-bin/gene_symbol_report?match=PDIA2,16p13.3,16,PDI; PDA2; PDIP; PDIR;,"Protein disulfide isomerases (EC 5.3.4.1), such as PDIP, are endoplasmic reticulum (ER) resident proteins that catalyze protein folding and thiol-disulfide interchange reactions (Desilva et al., 1996 [PubMed 8561901]).[supplied by OMIM, Mar 2008]"
972,MGP003954,http://www.genenames.org/cgi-bin/gene_symbol_report?match=PDIA4,7q35,7,ERP70; ERP72; ERp-72;,
973,MGP004137,http://www.genenames.org/cgi-bin/gene_symbol_report?match=PDIA6,2p25.1,2,P5; ERP5; TXNDC7;,"Protein disulfide isomerases (EC 5.3.4.1), such as PDIA6, are endoplasmic reticulum (ER) resident proteins that catalyze formation, reduction, and isomerization of disulfide bonds in proteins and are thought to play a role in folding of disulfide-bonded proteins (Hayano and Kikuchi, 1995 [PubMed 7590364]).[supplied by OMIM, Mar 2008]"
974,MGP007281,http://www.genenames.org/cgi-bin/gene_symbol_report?match=PLA2G4B,15q11.2-q21.3,15,HsT16992; cPLA2-beta;,"This gene encodes a member of the cytosolic phospholipase A2 protein family. Phospholipase A2 enzymes hydrolyze the sn-2 bond of phospholipids, releasing lysophospholipids and fatty acids. This enzyme may be associated with mitochondria and early endosomes. Most tissues also express read-through transcripts from the upstream gene into this gene, some of which may encode fusion proteins combining the N-terminus of the upstream gene including its JmjC domain with the almost complete coding region of this gene, including the C2 and cytoplasmic phospholipase A2 domains. [provided by RefSeq, Jul 2008]"
975,MGP002384,http://www.genenames.org/cgi-bin/gene_symbol_report?match=PPIB,15q21-q22,15,OI9; CYPB; SCYLP; CYP-S1; HEL-S-39;,"The protein encoded by this gene is a cyclosporine-binding protein and is mainly located within the endoplasmic reticulum. It is associated with the secretory pathway and released in biological fluids. This protein can bind to cells derived from T- and B-lymphocytes, and may regulate cyclosporine A-mediated immunosuppression. Variants have been identified in this protein that give rise to recessive forms of osteogenesis imperfecta. [provided by RefSeq, Oct 2009]"
976,MGP002513,http://www.genenames.org/cgi-bin/gene_symbol_report?match=PTGDS,9q34.2-q34.3,9,PDS; PGD2; PGDS; LPGDS; PGDS2; L-PGDS;,"The protein encoded by this gene is a glutathione-independent prostaglandin D synthase that catalyzes the conversion of prostaglandin H2 (PGH2) to postaglandin D2 (PGD2). PGD2 functions as a neuromodulator as well as a trophic factor in the central nervous system. PGD2 is also involved in smooth muscle contraction/relaxation and is a potent inhibitor of platelet aggregation. This gene is preferentially expressed in brain. Studies with transgenic mice overexpressing this gene suggest that this gene may be also involved in the regulation of non-rapid eye movement sleep. [provided by RefSeq, Jul 2008]"
977,MGP003941,http://www.genenames.org/cgi-bin/gene_symbol_report?match=PTGES,9q34.3,9,PGES; MPGES; PIG12; PP102; PP1294; MGST-IV; MGST1L1; TP53I12; mPGES-1; MGST1-L1;,"The protein encoded by this gene is a glutathione-dependent prostaglandin E synthase. The expression of this gene has been shown to be induced by proinflammatory cytokine interleukin 1 beta (IL1B). Its expression can also be induced by tumor suppressor protein TP53, and may be involved in TP53 induced apoptosis. Knockout studies in mice suggest that this gene may contribute to the pathogenesis of collagen-induced arthritis and mediate acute pain during inflammatory responses. [provided by RefSeq, Jul 2008]"
978,MGP002520,http://www.genenames.org/cgi-bin/gene_symbol_report?match=PTGIS,20q13.13,20,CYP8; PGIS; PTGI; CYP8A1;,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. However, this protein is considered a member of the cytochrome P450 superfamily on the basis of sequence similarity rather than functional similarity. This endoplasmic reticulum membrane protein catalyzes the conversion of prostglandin H2 to prostacyclin (prostaglandin I2), a potent vasodilator and inhibitor of platelet aggregation. An imbalance of prostacyclin and its physiological antagonist thromboxane A2 contribute to the development of myocardial infarction, stroke, and atherosclerosis. [provided by RefSeq, Jul 2008]"
979,MGP002522,http://www.genenames.org/cgi-bin/gene_symbol_report?match=PTGS1,9q32-q33.3,9,COX1; COX3; PHS1; PCOX1; PES-1; PGHS1; PTGHS; PGG/HS; PGHS-1;,"This is one of two genes encoding similar enzymes that catalyze the conversion of arachinodate to prostaglandin. The encoded protein regulates angiogenesis in endothelial cells, and is inhibited by nonsteroidal anti-inflammatory drugs such as aspirin. Based on its ability to function as both a cyclooxygenase and as a peroxidase, the encoded protein has been identified as a moonlighting protein. The protein may promote cell proliferation during tumor progression. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014]"
980,MGP002523,http://www.genenames.org/cgi-bin/gene_symbol_report?match=PTGS2,1q25.2-q25.3,1,COX2; COX-2; PHS-2; PGG/HS; PGHS-2; hCox-2; GRIPGHS;,"Prostaglandin-endoperoxide synthase (PTGS), also known as cyclooxygenase, is the key enzyme in prostaglandin biosynthesis, and acts both as a dioxygenase and as a peroxidase. There are two isozymes of PTGS: a constitutive PTGS1 and an inducible PTGS2, which differ in their regulation of expression and tissue distribution. This gene encodes the inducible isozyme. It is regulated by specific stimulatory events, suggesting that it is responsible for the prostanoid biosynthesis involved in inflammation and mitogenesis. [provided by RefSeq, Feb 2009]"
981,MGP004739,http://www.genenames.org/cgi-bin/gene_symbol_report?match=SDF2L1,22q11.21,22,,
982,MGP003876,http://www.genenames.org/cgi-bin/gene_symbol_report?match=SLC22A6,11q12.3,11,OAT1; PAHT; HOAT1; ROAT1;,"The protein encoded by this gene is involved in the sodium-dependent transport and excretion of organic anions, some of which are potentially toxic. The encoded protein is an integral membrane protein and may be localized to the basolateral membrane. Four transcript variants encoding four different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
983,MGP003879,http://www.genenames.org/cgi-bin/gene_symbol_report?match=SLC22A8,11q11,11,OAT3;,"This gene encodes a protein involved in the sodium-independent transport and excretion of organic anions, some of which are potentially toxic. The encoded protein is an integral membrane protein and appears to be localized to the basolateral membrane of the kidney. Multiple alternatively spliced transcript variants that encode different protein isoforms have been described for this gene. [provided by RefSeq, May 2010]"
984,MGP003077,http://www.genenames.org/cgi-bin/gene_symbol_report?match=TBXAS1,7q34-q35,7,TS; TXS; CYP5; THAS; TXAS; CYP5A1; GHOSAL; BDPLT14;,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. However, this protein is considered a member of the cytochrome P450 superfamily on the basis of sequence similarity rather than functional similarity. This endoplasmic reticulum membrane protein catalyzes the conversion of prostglandin H2 to thromboxane A2, a potent vasoconstrictor and inducer of platelet aggregation. The enzyme plays a role in several pathophysiological processes including hemostasis, cardiovascular disease, and stroke. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2008]"
985,MGP005314,http://www.genenames.org/cgi-bin/gene_symbol_report?match=UGT1A1,2q37,2,GNT1; UGT1; UDPGT; UGT1A; HUG-BR1; BILIQTL1; UDPGT 1-1;,"This gene encodes a UDP-glucuronosyltransferase, an enzyme of the glucuronidation pathway that transforms small lipophilic molecules, such as steroids, bilirubin, hormones, and drugs, into water-soluble, excretable metabolites. This gene is part of a complex locus that encodes several UDP-glucuronosyltransferases. The locus includes thirteen unique alternate first exons followed by four common exons. Four of the alternate first exons are considered pseudogenes. Each of the remaining nine 5' exons may be spliced to the four common exons, resulting in nine proteins with different N-termini and identical C-termini. Each first exon encodes the substrate binding site, and is regulated by its own promoter. The preferred substrate of this enzyme is bilirubin, although it also has moderate activity with simple phenols, flavones, and C18 steroids. Mutations in this gene result in Crigler-Najjar syndromes types I and II and in Gilbert syndrome. [provided by RefSeq, Jul 2008]"
986,MGP005305,http://www.genenames.org/cgi-bin/gene_symbol_report?match=UGT1A10,2q37,2,UDPGT; UGT1J; UGT-1J; UGT1-10; UGT1.10;,"This gene encodes a UDP-glucuronosyltransferase, an enzyme of the glucuronidation pathway that transforms small lipophilic molecules, such as steroids, bilirubin, hormones, and drugs, into water-soluble, excretable metabolites. This gene is part of a complex locus that encodes several UDP-glucuronosyltransferases. The locus includes thirteen unique alternate first exons followed by four common exons. Four of the alternate first exons are considered pseudogenes. Each of the remaining nine 5' exons may be spliced to the four common exons, resulting in nine proteins with different N-termini and identical C-termini. Each first exon encodes the substrate binding site, and is regulated by its own promoter. The enzyme encoded by this gene has glucuronidase activity on mycophenolic acid, coumarins, and quinolines. [provided by RefSeq, Jul 2008]"
987,MGP005315,http://www.genenames.org/cgi-bin/gene_symbol_report?match=UGT1A3,2q37,2,UDPGT; UGT1C; UGT-1C; UGT1.3; UGT1-03; UDPGT 1-3;,"This gene encodes a UDP-glucuronosyltransferase, an enzyme of the glucuronidation pathway that transforms small lipophilic molecules, such as steroids, bilirubin, hormones, and drugs, into water-soluble, excretable metabolites. This gene is part of a complex locus that encodes several UDP-glucuronosyltransferases. The locus includes thirteen unique alternate first exons followed by four common exons. Four of the alternate first exons are considered pseudogenes. Each of the remaining nine 5' exons may be spliced to the four common exons, resulting in nine proteins with different N-termini and identical C-termini. Each first exon encodes the substrate binding site, and is regulated by its own promoter. Substrates of this enzyme include estrone, 2-hydroxyestrone, and metabolites of benzo alpha-pyrene. [provided by RefSeq, Jul 2008]"
988,MGP005312,http://www.genenames.org/cgi-bin/gene_symbol_report?match=UGT1A9,2q37,2,LUGP4; UDPGT; UGT1I; HLUGP4; UGT-1I; UGT1-9; UGT1.9; UGT1AI; UGT1-09; UDPGT 1-9;,"This gene encodes a UDP-glucuronosyltransferase, an enzyme of the glucuronidation pathway that transforms small lipophilic molecules, such as steroids, bilirubin, hormones, and drugs, into water-soluble, excretable metabolites. This gene is part of a complex locus that encodes several UDP-glucuronosyltransferases. The locus includes thirteen unique alternate first exons followed by four common exons. Four of the alternate first exons are considered pseudogenes. Each of the remaining nine 5' exons may be spliced to the four common exons, resulting in nine proteins with different N-termini and identical C-termini. Each first exon encodes the substrate binding site, and is regulated by its own promoter. The enzyme encoded by this gene is active on phenols. [provided by RefSeq, Jul 2008]"
989,MGP003264,http://www.genenames.org/cgi-bin/gene_symbol_report?match=UGT2B4,4q13,4,HLUG25; UDPGTH1; UGT2B11; UDPGT2B4; UDPGTh-1;,
990,MGP003265,http://www.genenames.org/cgi-bin/gene_symbol_report?match=UGT2B7,4q13,4,UGT2B9; UDPGTH2; UDPGT2B7; UDPGT 2B9;,"The protein encoded by this gene belongs to the UDP-glycosyltransferase (UGT) family. UGTs serve a major role in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This protein is localized in the microsome membrane, and has unique specificity for 3,4-catechol estrogens and estriol, suggesting that it may play an important role in regulating the level and activity of these potent estrogen metabolites. [provided by RefSeq, Sep 2011]"
991,MGP003628,http://www.genenames.org/cgi-bin/gene_symbol_report?match=AKR1C3,10p15-p14,10,DD3; DDX; PGFS; HAKRB; HAKRe; HA1753; HSD17B5; hluPGFS;,"This gene encodes a member of the aldo/keto reductase superfamily, which consists of more than 40 known enzymes and proteins. These enzymes catalyze the conversion of aldehydes and ketones to their corresponding alcohols by utilizing NADH and/or NADPH as cofactors. The enzymes display overlapping but distinct substrate specificity. This enzyme catalyzes the reduction of prostaglandin (PG) D2, PGH2 and phenanthrenequinone (PQ), and the oxidation of 9alpha,11beta-PGF2 to PGD2. It may play an important role in the pathogenesis of allergic diseases such as asthma, and may also have a role in controlling cell growth and/or differentiation. This gene shares high sequence identity with three other gene members and is clustered with those three genes at chromosome 10p15-p14. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2011]"
992,MGP000128,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ALOX12,17p13.1,17,LOG12; 12-LOX; 12S-LOX;,
993,MGP000131,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ALOX12B,17p13.1,17,ARCI2; 12R-LOX;,"This gene encodes an enzyme involved in the converstion of arachidonic acid to 12R-hydroxyeicosatetraenoic acid. Mutations in this gene are associated with nonbullous congenital ichthyosiform erythroderma. [provided by RefSeq, Jul 2008]"
994,MGP000132,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ALOX15,17p13.3,17,12-LOX; 15LOX-1; 15-LOX-1;,
995,MGP000133,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ALOX15B,17p13.1,17,15-LOX-2;,"This gene encodes a member of the lipoxygenase family of structurally related nonheme iron dioxygenases involved in the production of fatty acid hydroperoxides. The encoded protein converts arachidonic acid exclusively to 15S-hydroperoxyeicosatetraenoic acid, while metabolizing linoleic acid less effectively. This gene is located in a cluster of related genes and a pseudogene that spans approximately 100 kilobases on the short arm of chromosome 17. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Jul 2008]"
996,MGP000129,http://www.genenames.org/cgi-bin/gene_symbol_report?match=ALOX5,10q11.2,10,5-LO; 5LPG; LOG5; 5-LOX;,"This gene encodes a member of the lipoxygenase gene family and plays a dual role in the synthesis of leukotrienes from arachidonic acid. The encoded protein, which is expressed specifically in bone marrow-derived cells, catalyzes the conversion of arachidonic acid to 5(S)-hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoic acid, and further to the allylic epoxide 5(S)-trans-7,9-trans-11,14-cis-eicosatetrenoic acid (leukotriene A4). Leukotrienes are important mediators of a number of inflammatory and allergic conditions. Mutations in the promoter region of this gene lead to a diminished response to antileukotriene drugs used in the treatment of asthma and may also be associated with atherosclerosis and several cancers. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2012]"
997,MGP000431,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CBR1,21q22.13,21,CBR; hCBR1; SDR21C1;,"The protein encoded by this gene belongs to the short-chain dehydrogenases/reductases (SDR) family, which function as NADPH-dependent oxidoreductases having wide specificity for carbonyl compounds, such as quinones, prostaglandins, and various xenobiotics. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Nov 2013]"
998,MGP000752,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP2B6,19q13.2,19,CPB6; EFVM; IIB1; P450; CYP2B; CYP2B7; CYP2B7P; CYPIIB6;,"This gene, CYP2B6, encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and its expression is induced by phenobarbital. The enzyme is known to metabolize some xenobiotics, such as the anti-cancer drugs cyclophosphamide and ifosphamide. Transcript variants for this gene have been described; however, it has not been resolved whether these transcripts are in fact produced by this gene or by a closely related pseudogene, CYP2B7. Both the gene and the pseudogene are located in the middle of a CYP2A pseudogene found in a large cluster of cytochrome P450 genes from the CYP2A, CYP2B and CYP2F subfamilies on chromosome 19q. [provided by RefSeq, Jul 2008]"
999,MGP000754,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP2C8,10q23.33,10,CPC8; CYPIIC8; MP-12/MP-20;,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and its expression is induced by phenobarbital. The enzyme is known to metabolize many xenobiotics, including the anticonvulsive drug mephenytoin, benzo(a)pyrene, 7-ethyoxycoumarin, and the anti-cancer drug taxol. This gene is located within a cluster of cytochrome P450 genes on chromosome 10q24. Several transcript variants encoding a few different isoforms have been found for this gene. [provided by RefSeq, Nov 2010]"
1000,MGP000758,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP2E1,10q26.3,10,CPE1; CYP2E; P450-J; P450C2E;,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and is induced by ethanol, the diabetic state, and starvation. The enzyme metabolizes both endogenous substrates, such as ethanol, acetone, and acetal, as well as exogenous substrates including benzene, carbon tetrachloride, ethylene glycol, and nitrosamines which are premutagens found in cigarette smoke. Due to its many substrates, this enzyme may be involved in such varied processes as gluconeogenesis, hepatic cirrhosis, diabetes, and cancer. [provided by RefSeq, Jul 2008]"
1001,MGP000760,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP2J2,1p31.3-p31.2,1,CPJ2;,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and is thought to be the predominant enzyme responsible for epoxidation of endogenous arachidonic acid in cardiac tissue. [provided by RefSeq, Jul 2008]"
1002,MGP006338,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP2U1,4q25,4,SPG49; SPG56; P450TEC;,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This enzyme is a hydroxylase that metabolizes arachidonic acid, docosahexaenoic acid, and other long chain fatty acids. [provided by RefSeq, Jul 2008]"
1003,MGP000763,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP4A11,1p33,1,CP4Y; CYP4A2; CYP4AII;,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and hydroxylates medium-chain fatty acids such as laurate and myristate. [provided by RefSeq, Jul 2008]"
1004,MGP003587,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP4F2,19p13.12,19,CPF2;,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum. The enzyme starts the process of inactivating and degrading leukotriene B4, a potent mediator of inflammation. This gene is part of a cluster of cytochrome P450 genes on chromosome 19. Another member of this family, CYP4F11, is approximately 16 kb away. [provided by RefSeq, Jul 2008]"
1005,MGP001842,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP4F3,19p13.2,19,CPF3; CYP4F; LTB4H;,"This gene, CYP4F3, encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum. The enzyme starts the process of inactivating and degrading leukotriene B4, a potent mediator of inflammation. This gene is part of a cluster of cytochrome P450 genes on chromosome 19. Another member of this family, CYP4F8, is approximately 18 kb away. Three transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Nov 2010]"
1006,MGP004502,http://www.genenames.org/cgi-bin/gene_symbol_report?match=CYP4F8,19p13.1,19,CPF8; CYPIVF8;,"This gene, CYP4F8, encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and functions as a 19-hydroxylase of prostaglandins in seminal vesicles. This gene is part of a cluster of cytochrome P450 genes on chromosome 19. Another member of this family, CYP4F3, is approximately 18 kb away. [provided by RefSeq, Jul 2008]"
1007,MGP000973,http://www.genenames.org/cgi-bin/gene_symbol_report?match=EPHX2,8p21,8,CEH; SEH;,"This gene encodes a member of the epoxide hydrolase family. The protein, found in both the cytosol and peroxisomes, binds to specific epoxides and converts them to the corresponding dihydrodiols. Mutations in this gene have been associated with familial hypercholesterolemia. Alternatively spliced transcript variants have been described. [provided by RefSeq, Feb 2012]"
1008,MGP006483,http://www.genenames.org/cgi-bin/gene_symbol_report?match=FAM213B,1p36.32,1,C1orf93;,
1009,MGP001195,http://www.genenames.org/cgi-bin/gene_symbol_report?match=GGT1,22q11.23,22,GGT; GTG; CD224; GGT 1; D22S672; D22S732;,"The enzyme encoded by this gene is a type I gamma-glutamyltransferase that catalyzes the transfer of the glutamyl moiety of glutathione to a variety of amino acids and dipeptide acceptors. The enzyme is composed of a heavy chain and a light chain, which are derived from a single precursor protein. It is expressed in tissues involved in absorption and secretion and may contribute to the etiology of diabetes and other metabolic disorders. Multiple alternatively spliced variants have been identified. There are a number of related genes present on chromosomes 20 and 22, and putative pseudogenes for this gene on chromosomes 2, 13, and 22. [provided by RefSeq, Jan 2014]"
1010,MGP001303,http://www.genenames.org/cgi-bin/gene_symbol_report?match=GPX1,3p21.3,3,GPXD; GSHPX1;,"This gene encodes a member of the glutathione peroxidase family. Glutathione peroxidase functions in the detoxification of hydrogen peroxide, and is one of the most important antioxidant enzymes in humans. This protein is one of only a few proteins known in higher vertebrates to contain selenocysteine, which occurs at the active site of glutathione peroxidase and is coded by UGA, that normally functions as a translation termination codon. In addition, this protein is characterized in a polyalanine sequence polymorphism in the N-terminal region, which includes three alleles with five, six or seven alanine (ALA) repeats in this sequence. The allele with five ALA repeats is significantly associated with breast cancer risk. Two alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
1011,MGP001841,http://www.genenames.org/cgi-bin/gene_symbol_report?match=LTA4H,12q22,12,,
1012,MGP001845,http://www.genenames.org/cgi-bin/gene_symbol_report?match=LTC4S,5q35,5,,"The MAPEG (Membrane Associated Proteins in Eicosanoid and Glutathione metabolism) family includes a number of human proteins, several of which are involved the production of leukotrienes. This gene encodes an enzyme that catalyzes the first step in the biosynthesis of cysteinyl leukotrienes, potent biological compounds derived from arachidonic acid. Leukotrienes have been implicated as mediators of anaphylaxis and inflammatory conditions such as human bronchial asthma. This protein localizes to the nuclear envelope and adjacent endoplasmic reticulum. [provided by RefSeq, Jul 2008]"
1013,MGP002307,http://www.genenames.org/cgi-bin/gene_symbol_report?match=PLA2G2A,1p35,1,MOM1; PLA2; PLA2B; PLA2L; PLA2S; PLAS1; sPLA2;,"The protein encoded by this gene is a member of the phospholipase A2 family (PLA2). PLA2s constitute a diverse family of enzymes with respect to sequence, function, localization, and divalent cation requirements. This gene product belongs to group II, which contains secreted form of PLA2, an extracellular enzyme that has a low molecular mass and requires calcium ions for catalysis. It catalyzes the hydrolysis of the sn-2 fatty acid acyl ester bond of phosphoglycerides, releasing free fatty acids and lysophospholipids, and thought to participate in the regulation of the phospholipid metabolism in biomembranes. Several alternatively spliced transcript variants with different 5' UTRs have been found for this gene.[provided by RefSeq, Sep 2009]"
1014,MGP007281,http://www.genenames.org/cgi-bin/gene_symbol_report?match=PLA2G4B,15q11.2-q21.3,15,HsT16992; cPLA2-beta;,"This gene encodes a member of the cytosolic phospholipase A2 protein family. Phospholipase A2 enzymes hydrolyze the sn-2 bond of phospholipids, releasing lysophospholipids and fatty acids. This enzyme may be associated with mitochondria and early endosomes. Most tissues also express read-through transcripts from the upstream gene into this gene, some of which may encode fusion proteins combining the N-terminus of the upstream gene including its JmjC domain with the almost complete coding region of this gene, including the C2 and cytoplasmic phospholipase A2 domains. [provided by RefSeq, Jul 2008]"
1015,MGP002513,http://www.genenames.org/cgi-bin/gene_symbol_report?match=PTGDS,9q34.2-q34.3,9,PDS; PGD2; PGDS; LPGDS; PGDS2; L-PGDS;,"The protein encoded by this gene is a glutathione-independent prostaglandin D synthase that catalyzes the conversion of prostaglandin H2 (PGH2) to postaglandin D2 (PGD2). PGD2 functions as a neuromodulator as well as a trophic factor in the central nervous system. PGD2 is also involved in smooth muscle contraction/relaxation and is a potent inhibitor of platelet aggregation. This gene is preferentially expressed in brain. Studies with transgenic mice overexpressing this gene suggest that this gene may be also involved in the regulation of non-rapid eye movement sleep. [provided by RefSeq, Jul 2008]"
1016,MGP003941,http://www.genenames.org/cgi-bin/gene_symbol_report?match=PTGES,9q34.3,9,PGES; MPGES; PIG12; PP102; PP1294; MGST-IV; MGST1L1; TP53I12; mPGES-1; MGST1-L1;,"The protein encoded by this gene is a glutathione-dependent prostaglandin E synthase. The expression of this gene has been shown to be induced by proinflammatory cytokine interleukin 1 beta (IL1B). Its expression can also be induced by tumor suppressor protein TP53, and may be involved in TP53 induced apoptosis. Knockout studies in mice suggest that this gene may contribute to the pathogenesis of collagen-induced arthritis and mediate acute pain during inflammatory responses. [provided by RefSeq, Jul 2008]"
1017,MGP002520,http://www.genenames.org/cgi-bin/gene_symbol_report?match=PTGIS,20q13.13,20,CYP8; PGIS; PTGI; CYP8A1;,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. However, this protein is considered a member of the cytochrome P450 superfamily on the basis of sequence similarity rather than functional similarity. This endoplasmic reticulum membrane protein catalyzes the conversion of prostglandin H2 to prostacyclin (prostaglandin I2), a potent vasodilator and inhibitor of platelet aggregation. An imbalance of prostacyclin and its physiological antagonist thromboxane A2 contribute to the development of myocardial infarction, stroke, and atherosclerosis. [provided by RefSeq, Jul 2008]"
1018,MGP002522,http://www.genenames.org/cgi-bin/gene_symbol_report?match=PTGS1,9q32-q33.3,9,COX1; COX3; PHS1; PCOX1; PES-1; PGHS1; PTGHS; PGG/HS; PGHS-1;,"This is one of two genes encoding similar enzymes that catalyze the conversion of arachinodate to prostaglandin. The encoded protein regulates angiogenesis in endothelial cells, and is inhibited by nonsteroidal anti-inflammatory drugs such as aspirin. Based on its ability to function as both a cyclooxygenase and as a peroxidase, the encoded protein has been identified as a moonlighting protein. The protein may promote cell proliferation during tumor progression. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014]"
1019,MGP002523,http://www.genenames.org/cgi-bin/gene_symbol_report?match=PTGS2,1q25.2-q25.3,1,COX2; COX-2; PHS-2; PGG/HS; PGHS-2; hCox-2; GRIPGHS;,"Prostaglandin-endoperoxide synthase (PTGS), also known as cyclooxygenase, is the key enzyme in prostaglandin biosynthesis, and acts both as a dioxygenase and as a peroxidase. There are two isozymes of PTGS: a constitutive PTGS1 and an inducible PTGS2, which differ in their regulation of expression and tissue distribution. This gene encodes the inducible isozyme. It is regulated by specific stimulatory events, suggesting that it is responsible for the prostanoid biosynthesis involved in inflammation and mitogenesis. [provided by RefSeq, Feb 2009]"
1020,MGP003077,http://www.genenames.org/cgi-bin/gene_symbol_report?match=TBXAS1,7q34-q35,7,TS; TXS; CYP5; THAS; TXAS; CYP5A1; GHOSAL; BDPLT14;,"This gene encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. However, this protein is considered a member of the cytochrome P450 superfamily on the basis of sequence similarity rather than functional similarity. This endoplasmic reticulum membrane protein catalyzes the conversion of prostglandin H2 to thromboxane A2, a potent vasoconstrictor and inducer of platelet aggregation. The enzyme plays a role in several pathophysiological processes including hemostasis, cardiovascular disease, and stroke. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2008]"
1021,MGP005453,http://www.genenames.org/cgi-bin/gene_symbol_report?match=AMBRA1,11p11.2,11,DCAF3; WDR94;,
